((('cue ball', (0.10484158250230613, 0.5722681818670039)), ('orange', (0.5254033312671162, 1.445864679986377)), ('blue', (0.16711423307296247, 1.7756960317789023))), 'pot blue ball into top_right pocket with a bank shot')
((('cue ball', (0.3219669772176347, 1.250792706249301)), ('maroon', (0.38701108062135164, 1.074147238749183)), ('green', (0.8226365693621207, 1.4835316604249118))), 'pot maroon ball into middle_right pocket')
((('cue ball', (0.03225326178241831, 0.13828799232705502)), ('green', (0.8420805832055702, 1.0949623650774085)), ('purple', (0.9053700224287734, 1.5011362582113865))), 'pot purple ball into bottom_left pocket with a bank shot')
((('cue ball', (0.11112194933046621, 1.013573634786873)), ('black', (0.8160516801270299, 1.8145192649447837)), ('green', (0.8297567224396823, 0.21140980096525874))), 'pot black ball into top_left pocket')
((('cue ball', (0.21128210369561037, 1.517568570422647)), ('maroon', (0.15883539783121645, 1.7627204653190525)), ('green', (0.3780582332537126, 0.7826076317007191))), 'pot green ball into bottom_left pocket with a bank shot')
((('cue ball', (0.8602691321548164, 0.9818249779064564)), ('black', (0.786094508294145, 1.7708356313919469)), ('orange', (0.2971436935264459, 1.6207783408973437))), 'pot black ball into top_left pocket')
((('cue ball', (0.10053674787847455, 0.7439778028200601)), ('orange', (0.163432262567603, 1.0412300274779198)), ('black', (0.14714840828337197, 0.8957104178312705))), 'pot black ball into middle_right pocket')
((('cue ball', (0.5813449616275449, 1.339153662352467)), ('purple', (0.12942643360081316, 1.1520845240473738)), ('black', (0.8928858619728852, 0.3348283750530093))), 'pot purple ball into middle_left pocket directly')
((('cue ball', (0.2468352469620281, 0.14829238130173047)), ('orange', (0.4305665992078273, 0.3184652377422979)), ('purple', (0.5758933538954951, 1.0683106420468007))), 'pot orange ball into bottom_right pocket')
((('cue ball', (0.6544055393299756, 0.6120246887107452)), ('green', (0.9072044061049169, 0.6221195677522744)), ('purple', (0.5619802777367553, 1.7430471485907606))), 'pot green ball into top_left pocket')
((('cue ball', (0.09648101222802315, 1.2042917356053604)), ('green', (0.572847211994881, 0.6076499770751201)), ('blue', (0.3587195027944929, 0.2530766493031258))), 'pot green ball into middle_right pocket directly')
((('cue ball', (0.5989243154334698, 1.3071878483109403)), ('maroon', (0.5106621751236581, 1.568608610089551)), ('yellow', (0.8523327702968937, 0.6043595255957586))), 'pot yellow ball into bottom_right pocket directly')
((('cue ball', (0.15760784616925252, 1.9470278524498679)), ('blue', (0.7345741167452365, 0.740281066248365)), ('orange', (0.26962716567269157, 0.06538700233818104))), 'pot orange ball into top_right pocket')
((('cue ball', (0.566407966674893, 1.2760789178429215)), ('yellow', (0.03808437891044128, 1.4831136217373935)), ('purple', (0.8024258467624582, 1.1112176919804904))), 'pot yellow ball into top_right pocket with a bank shot')
((('cue ball', (0.21974626879422426, 1.4348098732366226)), ('blue', (0.4922564036394454, 1.7195392008752317)), ('red', (0.1791073017710548, 0.7493767000651091))), 'pot blue ball into top_right pocket with a bank shot')
((('cue ball', (0.714393517095275, 1.217571494379895)), ('purple', (0.7568558536443997, 0.08113011212357221)), ('orange', (0.11921059591562295, 0.2907043142595222))), 'pot orange ball into bottom_left pocket with a bank shot')
((('cue ball', (0.60705303699415, 0.5310336855163085)), ('orange', (0.4034678869653533, 1.6396292371289511)), ('blue', (0.3395351449775886, 0.052642581829300365))), 'pot blue ball into top_left pocket with a bank shot')
((('cue ball', (0.8181996843231745, 1.5124840090084772)), ('orange', (0.4496191459338426, 0.23824727312022773)), ('black', (0.4444323553739413, 0.5955746592157998))), 'pot black ball into middle_left pocket')
((('cue ball', (0.8984267940172301, 1.2252929130533106)), ('blue', (0.2494050514960293, 0.2995527947164278)), ('yellow', (0.45817567392914527, 0.5172405208756329))), 'pot blue ball into middle_right pocket with a bank shot')
((('cue ball', (0.7313942989013411, 1.1510079148216488)), ('black', (0.09865687404022581, 0.8064883826320809)), ('blue', (0.6821963025661779, 0.4606771961716587))), 'pot black ball into top_left pocket directly')
((('cue ball', (0.649875740822728, 0.8289066726159825)), ('orange', (0.48770266511198607, 0.7606949858046845)), ('red', (0.4933790844765398, 0.24914799236742483))), 'pot red ball into middle_right pocket')
((('cue ball', (0.5721615731815431, 0.5236600875925622)), ('yellow', (0.6659548574039025, 0.1144406384309349)), ('purple', (0.7689827167273567, 0.6778414877432198))), 'pot yellow ball into middle_right pocket with a bank shot')
((('cue ball', (0.3785964415787103, 0.3339023250799989)), ('red', (0.47809850653437597, 1.4638587741813636)), ('maroon', (0.18214405037545417, 0.317859653906924))), 'pot red ball into top_right pocket')
((('cue ball', (0.12335852366598361, 0.6591300212204748)), ('blue', (0.33883650346411703, 1.9415150742409273)), ('yellow', (0.1502074642032161, 0.5729080382347029))), 'pot yellow ball into top_left pocket')
((('cue ball', (0.4142626947456713, 1.4639234490200013)), ('maroon', (0.09449108960661397, 1.1302026139812966)), ('purple', (0.6276240743529546, 0.84927869693967))), 'pot purple ball into top_right pocket with a bank shot')
((('cue ball', (0.443481657001067, 0.48089483038109637)), ('green', (0.9134405649054385, 0.7239654768249587)), ('black', (0.3506980141596186, 1.1179836258779605))), 'pot black ball into top_right pocket')
((('cue ball', (0.6109544823071451, 0.7071263137199552)), ('red', (0.49636425548970886, 0.04317689629618887)), ('yellow', (0.6792421602447353, 0.8048079826029481))), 'pot yellow ball into top_right pocket directly')
