(12517, ((('cue', (0.42341723804622844, 1.6467973038347226)), ('blue', (0.5945423787537737, 1.2873853619345628)), ('yellow', (0.7444210487653565, 0.48212063936219884)), ('red', (0.09132448343103261, 0.7484127350981361))), 'pot blue ball into bottom_left pocket with a bank shot')), Success: True
(1717, ((('cue', (0.32329298087065916, 1.378936221084624)), ('red', (0.253087776405173, 0.06240693333416583)), ('yellow', (0.525810348455279, 0.5702825149877232)), ('blue', (0.7107787949663615, 1.3410597299912068))), 'pot yellow ball into bottom_right pocket directly')), Success: True
(12619, ((('cue', (0.7089134227414251, 0.9121832881060373)), ('blue', (0.7027555358101172, 1.4676348500475513)), ('yellow', (0.32333790550812713, 0.7386179257182294)), ('red', (0.2969811569977665, 1.8768227227246528))), 'pot blue ball into top_right pocket directly')), Success: True
(4814, ((('cue', (0.4436672314983392, 0.6981618939409258)), ('blue', (0.2630310098591373, 1.3522736266705437)), ('red', (0.7353227540779262, 0.9857908280307194)), ('yellow', (0.5963969913783155, 1.2161693836578835))), 'pot blue ball into top_right pocket with a bank shot')), Success: True
(7507, ((('cue', (0.28483473064487164, 0.6085560605463571)), ('blue', (0.6836017367551595, 0.9665296750397816)), ('red', (0.05509611615565866, 1.271663757941072)), ('yellow', (0.33119896204415467, 0.4378330084987959))), 'pot blue ball into bottom_left pocket indirectly')), Success: True
(4659, ((('cue', (0.6397135859665697, 0.19367552478894476)), ('yellow', (0.6076084109100277, 0.5377242837041099)), ('blue', (0.671035942177816, 1.3836795894190161)), ('red', (0.12788579043537096, 0.10325377473033207))), 'pot yellow ball into top_right pocket indirectly')), Success: True
(10040, ((('cue', (0.42607909577951963, 1.7771965272990224)), ('blue', (0.12578270981001477, 0.8467156784223889)), ('yellow', (0.8106179564004199, 1.3921783226600783)), ('red', (0.7964635950945894, 0.8428858072048508))), 'pot red ball into middle_left pocket with a bank shot')), Success: True
(12257, ((('cue', (0.6667343371535582, 0.8237998391240421)), ('blue', (0.3715580625336863, 0.4991229043238399)), ('yellow', (0.3263181362095682, 1.6463958564545584)), ('red', (0.4627208707283442, 1.1182993481671912))), 'pot yellow ball into top_right pocket with a bank shot')), Success: True
(5190, ((('cue', (0.5326513843335846, 0.772174542727)), ('yellow', (0.39879871287305, 1.2053160714231976)), ('red', (0.2446425223431004, 0.6908537768863424)), ('blue', (0.43275578085628796, 1.8666945167269733))), 'pot yellow ball into top_left pocket indirectly')), Success: True
(11283, ((('cue', (0.44997521028691423, 0.3866168195878963)), ('blue', (0.824804804450498, 1.4253931395209178)), ('red', (0.4126558145321889, 0.054794982929408126)), ('yellow', (0.37240949775572196, 0.7869388062129962))), 'pot yellow ball into top_left pocket indirectly')), Success: True
(2478, ((('cue', (0.6474475351982405, 1.6648847133271718)), ('blue', (0.8357135024761984, 0.4061597576527908)), ('yellow', (0.7180881000301869, 1.446681950133229)), ('red', (0.7002393504207721, 0.11994353060033461))), 'pot yellow ball into bottom_right pocket indirectly')), Success: True
(11483, ((('cue', (0.884269762444637, 0.6579932525024509)), ('red', (0.6765987332842474, 0.5774858093561038)), ('yellow', (0.6036035209295616, 0.9010349803478692)), ('blue', (0.6442870277087884, 1.3140731935816292))), 'pot red ball into bottom_left pocket with a bank shot')), Success: True
(7424, ((('cue', (0.6697289839461791, 1.166014358159963)), ('yellow', (0.159827525768679, 0.42015698156755643)), ('red', (0.7477867575897571, 1.4875849502835337)), ('blue', (0.756918700292789, 0.2143145822588907))), 'pot blue ball into top_right pocket indirectly')), Success: True
(9954, ((('cue', (0.22043251507443626, 1.5200939245266907)), ('red', (0.42893871963094954, 0.9832792087974195)), ('yellow', (0.10540537528501889, 0.14302209613710704)), ('blue', (0.22609558221341156, 0.599641431274872))), 'pot blue ball into top_left pocket indirectly')), Success: True
(11245, ((('cue', (0.7161871208989565, 1.1428637542517714)), ('blue', (0.11819069231846749, 1.797609882342653)), ('yellow', (0.3335360274815793, 1.5384055299701844)), ('red', (0.8460530560000106, 1.8779557858925493))), 'pot red ball into middle_left pocket with a bank shot')), Success: True
(11317, ((('cue', (0.7075344285954931, 0.8128395481813337)), ('red', (0.8300390936928822, 0.07810332693547323)), ('blue', (0.2787333168740369, 1.0882120967448252)), ('yellow', (0.11701936659237126, 1.5891138818889028))), 'pot red ball into bottom_right pocket directly')), Success: True
(6369, ((('cue', (0.8815734647804252, 0.39315015088922056)), ('yellow', (0.6063424318484864, 1.515503468033758)), ('red', (0.23983356987279264, 0.4522138643829563)), ('blue', (0.9359841365549015, 1.1262329316409578))), 'pot blue ball into top_right pocket with a bank shot')), Success: True
(1142, ((('cue', (0.6751806237030079, 0.2833672568166947)), ('red', (0.5028643041157094, 0.9948221257890693)), ('yellow', (0.3578918327184982, 1.5881281445824273)), ('blue', (0.06668013153517814, 1.4232556809517571))), 'pot yellow ball into bottom_left pocket indirectly')), Success: False
