(12517, ((('cue', (0.42341723804622844, 1.6467973038347226)), ('blue', (0.5945423787537737, 1.2873853619345628)), ('yellow', (0.7444210487653565, 0.48212063936219884)), ('red', (0.09132448343103261, 0.7484127350981361))), 'pot blue ball into bottom_left pocket with a bank shot')), Success Rate: 13 / 30 = 0.43333333333333335
(4659, ((('cue', (0.6397135859665697, 0.19367552478894476)), ('yellow', (0.6076084109100277, 0.5377242837041099)), ('blue', (0.671035942177816, 1.3836795894190161)), ('red', (0.12788579043537096, 0.10325377473033207))), 'pot yellow ball into top_right pocket indirectly')), Success Rate: 14 / 30 = 0.4666666666666667
(2558, ((('cue', (0.8940124976228706, 0.6236121663392721)), ('red', (0.6068631463012882, 0.45660891278037563)), ('blue', (0.19645684820600384, 0.15932148839689309)), ('yellow', (0.11200897391930965, 1.264673911700005))), 'pot red ball into top_left pocket indirectly')), Success Rate: 5 / 30 = 0.16666666666666666
(11603, ((('cue', (0.3244278384673881, 1.167942588916762)), ('yellow', (0.6406393234385093, 1.523492546212043)), ('red', (0.8785680104836029, 1.130341884167016)), ('blue', (0.12295314832876793, 1.8124474306658414))), 'pot yellow ball into middle_right pocket with a bank shot')), Success Rate: 0 / 30 = 0.0
(12348, ((('cue', (0.6131632044610137, 0.7889106276207043)), ('yellow', (0.38180329415711056, 0.967318777707224)), ('blue', (0.9379496609999222, 1.175468204134109)), ('red', (0.4106601629101082, 0.8874650786874245))), 'pot yellow ball into top_right pocket with a bank shot')), Success Rate: 0 / 30 = 0.0
(7813, ((('cue', (0.4812657998465144, 1.7650516838149026)), ('blue', (0.27396672564843383, 0.2766981788246874)), ('yellow', (0.8486573558918223, 1.9024747513974183)), ('red', (0.12430112371552825, 0.9059058786065846))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 0 / 30 = 0.0
(11866, ((('cue', (0.43352406444311364, 1.3305930186225987)), ('red', (0.7991024268191601, 0.47823169145008293)), ('blue', (0.3215832774616859, 0.09189981289632637)), ('yellow', (0.5186789684812747, 0.455729968965053))), 'pot blue ball into bottom_right pocket with a bank shot')), Success Rate: 2 / 30 = 0.06666666666666667
(7596, ((('cue', (0.5284422188306921, 0.08839304833815848)), ('red', (0.131609113922769, 0.48715505956300775)), ('blue', (0.1501886033563914, 1.1481625384655803)), ('yellow', (0.07475809990312177, 1.0723570348044362))), 'pot red ball into middle_left pocket directly')), Success Rate: 0 / 30 = 0.0
(1142, ((('cue', (0.6751806237030079, 0.2833672568166947)), ('red', (0.5028643041157094, 0.9948221257890693)), ('yellow', (0.3578918327184982, 1.5881281445824273)), ('blue', (0.06668013153517814, 1.4232556809517571))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 0 / 30 = 0.0
(1490, ((('cue', (0.6486009250296482, 0.5003012719916602)), ('blue', (0.4302960788003495, 0.11814756737866228)), ('red', (0.5670576475153355, 0.35384693954944124)), ('yellow', (0.28506393990432477, 1.419909678992929))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 4 / 30 = 0.13333333333333333
(12397, ((('cue', (0.37676910714978173, 0.20866428721081243)), ('red', (0.2622402040653673, 1.0667355793912157)), ('yellow', (0.5340703271204301, 1.2815234905210453)), ('blue', (0.5279057107787577, 0.6494121355033997))), 'pot blue ball into middle_right pocket directly')), Success Rate: 22 / 30 = 0.7333333333333333
