(('cue ball', (0.607227924427877, 0.3639508342770152)), ('purple', (0.7466241744812925, 1.7356740293138002)), ('blue', (0.12957429539285503, 0.9657499888490775)))
(('cue ball', (0.40877138983572275, 0.9214352240912709)), ('orange', (0.09750308498737069, 0.7770612780531095)), ('black', (0.5727241973715562, 1.8355690463707681)))
(('cue ball', (0.549591824234611, 1.6384259319595145)), ('black', (0.19616465832340788, 0.40412097477288494)), ('red', (0.08321194186506174, 0.2494464924846049)))
(('cue ball', (0.46716909745697566, 0.7905851326539645)), ('red', (0.14504082999053516, 1.352965456128178)), ('green', (0.6211519403761715, 0.17836299662173616)))
(('cue ball', (0.7770587707806335, 0.7294284395574336)), ('yellow', (0.38412933113962444, 1.6459061890744604)), ('maroon', (0.5326461488934492, 1.2870705268389224)))
(('cue ball', (0.5646265440000103, 0.1720164604822156)), ('orange', (0.5548896673337783, 1.2190587492644929)), ('black', (0.5280739516699858, 0.809096059967534)))
(('cue ball', (0.9483471430979685, 1.822558002617355)), ('red', (0.11097350064764985, 1.3077198601422655)), ('yellow', (0.8852213149960911, 1.8911970557174027)))
(('cue ball', (0.6283916452905632, 0.26204944333181135)), ('green', (0.13929941299998744, 1.859540236243811)), ('orange', (0.07879851454192488, 1.1941254840510631)))
(('cue ball', (0.4835156429486165, 0.6266912118535488)), ('orange', (0.4495294380114169, 1.9113915991596386)), ('blue', (0.7354197512659744, 0.758516218697721)))
(('cue ball', (0.5920478608549953, 0.7405379608984346)), ('blue', (0.7884067642165649, 1.469294086169676)), ('red', (0.2661870401549614, 0.9588367439359446)))
(('cue ball', (0.06924656910036789, 0.36550951967621387)), ('black', (0.4594821236626446, 1.3954776519408039)), ('orange', (0.6376923177046756, 1.819354061836167)))
(('cue ball', (0.11733632885782477, 1.512524829702506)), ('black', (0.9047126326551369, 0.42646613097607217)), ('yellow', (0.4821974684663264, 1.7417196327209534)))
(('cue ball', (0.6258298414432805, 1.487717901731648)), ('black', (0.2962229184546639, 0.5027766060956578)), ('yellow', (0.7724274717149562, 0.6938415324907855)))
(('cue ball', (0.39511419483257176, 1.6865968567315006)), ('orange', (0.4573547645671347, 1.6650275341215584)), ('purple', (0.5496978516424065, 1.4861136531998305)))
(('cue ball', (0.44764648275920205, 1.5958647537877404)), ('orange', (0.33662684357633615, 1.4451121575734136)), ('red', (0.048725920029076525, 0.6835553429296258)))
(('cue ball', (0.07962566025305746, 1.737317435810218)), ('green', (0.5145372867644561, 0.11038779884001365)), ('blue', (0.5784743360025085, 1.0878670436345546)))
