(0, ((('cue', (0.11245595349932312, 0.47427870741977574)), ('yellow', (0.9192109328653595, 0.6874222411368218)), ('blue', (0.2835435450491415, 1.6535865358303279)), ('red', (0.8130467582776302, 1.0860099813083968))), 'pot blue ball into top_right pocket directly')), Success Rate: 39 / 100 = 0.39
(1, ((('cue', (0.43170726958500216, 1.5578973653969652)), ('blue', (0.5642017804252489, 0.6597220085761324)), ('red', (0.958525426331103, 1.4576117510489617)), ('yellow', (0.14535325502118912, 1.765370520799307))), 'pot blue ball into top_left pocket indirectly')), Success Rate: 15 / 100 = 0.15
(2, ((('cue', (0.4510010777873349, 1.533536964494296)), ('blue', (0.19078738066654063, 0.3510248265192353)), ('yellow', (0.05375586175316834, 0.9375318699461929)), ('red', (0.28559064375315085, 0.07403195087177997))), 'pot blue ball into bottom_left pocket with a bank shot')), Success Rate: 75 / 100 = 0.75
(3, ((('cue', (0.5503033724397043, 1.0738857919974005)), ('red', (0.5266702617168157, 0.7761584132552848)), ('yellow', (0.6912421829564881, 1.157586176237432)), ('blue', (0.7928992090074823, 1.6814588438668545))), 'pot blue ball into middle_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(4, ((('cue', (0.6517109737881271, 1.854225104481335)), ('red', (0.28273905228405555, 1.6561201007813136)), ('blue', (0.6800879289866154, 1.315444320654809)), ('yellow', (0.9259409528290478, 1.9369141166322423))), 'pot blue ball into bottom_left pocket indirectly')), Success Rate: 24 / 100 = 0.24
(5, ((('cue', (0.11205381040417184, 0.6256831486041915)), ('red', (0.9639476424951818, 1.4510122610226028)), ('yellow', (0.8962153288428375, 1.1928482260444662)), ('blue', (0.5673920212433624, 1.2053016967740708))), 'pot yellow ball into top_left pocket indirectly')), Success Rate: 60 / 100 = 0.6
(6, ((('cue', (0.7689062679969603, 1.774066846964723)), ('yellow', (0.390424264328033, 0.3177213431711977)), ('red', (0.5601433638728892, 1.0254511476149468)), ('blue', (0.27476490396928877, 0.8839942956396445))), 'pot red ball into middle_left pocket with a bank shot')), Success Rate: 56 / 100 = 0.56
(7, ((('cue', (0.2079378691775167, 1.0108037085174892)), ('blue', (0.17922334629991454, 1.0816779355423543)), ('yellow', (0.19101080552940522, 0.10711689680774895)), ('red', (0.7469413842845534, 1.6852632695932692))), 'pot yellow ball into bottom_right pocket with a bank shot')), Success Rate: 2 / 100 = 0.02
(8, ((('cue', (0.44892690800519175, 1.9073926246093578)), ('yellow', (0.8293533281250376, 1.4577085778278038)), ('blue', (0.2247109145994806, 1.5775776946226683)), ('red', (0.32687056918958923, 1.3420082447169108))), 'pot blue ball into top_left pocket with a bank shot')), Success Rate: 5 / 100 = 0.05
(9, ((('cue', (0.5859376951863017, 0.456025379348861)), ('blue', (0.33589421483050486, 1.5674764659033655)), ('yellow', (0.2863497630914467, 1.0785699056989002)), ('red', (0.9525921757403537, 0.8694053838497454))), 'pot yellow ball into top_right pocket with a bank shot')), Success Rate: 47 / 100 = 0.47
(10, ((('cue', (0.6705626077769229, 1.0477448150022655)), ('blue', (0.4883276804084715, 0.31321877559066447)), ('yellow', (0.8777304377418182, 0.1028954028434915)), ('red', (0.7267613223611407, 0.7183689462277552))), 'pot yellow ball into bottom_right pocket indirectly')), Success Rate: 0 / 100 = 0.0
(11, ((('cue', (0.8473352153168217, 1.429326668579377)), ('yellow', (0.4170399669335556, 1.1135712603373589)), ('blue', (0.5407816166317904, 1.5540659332416715)), ('red', (0.43872063334199096, 1.3161478295426499))), 'pot blue ball into bottom_right pocket indirectly')), Success Rate: 2 / 100 = 0.02
(12, ((('cue', (0.2525865581259669, 0.5209041790939211)), ('yellow', (0.9012018783749077, 1.3121143855093782)), ('blue', (0.18820095471418494, 0.289030417635198)), ('red', (0.9414355583249578, 1.000944683460607))), 'pot red ball into top_left pocket with a bank shot')), Success Rate: 1 / 100 = 0.01
(13, ((('cue', (0.3601205749776144, 1.4891297102865022)), ('blue', (0.6260015190510917, 0.7790521749546988)), ('red', (0.8411443362746931, 0.1392055954702554)), ('yellow', (0.9300368389726007, 1.4470009826959793))), 'pot red ball into middle_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(14, ((('cue', (0.8271663252570032, 0.5858512575450147)), ('red', (0.9004195167850055, 1.0769755834897483)), ('blue', (0.6824573961507586, 1.806565423477202)), ('yellow', (0.9736215579692917, 1.105676468914476))), 'pot red ball into bottom_right pocket indirectly')), Success Rate: 0 / 100 = 0.0
(15, ((('cue', (0.15297942169608386, 1.2125919038800717)), ('yellow', (0.6796103243617295, 0.2936369292696325)), ('red', (0.6383321970786207, 0.3950686678549393)), ('blue', (0.9640178546924925, 1.7655759282028662))), 'pot blue ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(16, ((('cue', (0.6196235812227441, 1.7576691816485759)), ('blue', (0.48203195930239406, 1.0782960068029024)), ('yellow', (0.7744607475536601, 0.10103644930825237)), ('red', (0.9307543979614578, 0.6237669803689087))), 'pot yellow ball into top_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(17, ((('cue', (0.5621077019554611, 0.6398424627132459)), ('yellow', (0.5837480117530475, 0.07963976883056338)), ('red', (0.6345669423411705, 1.054280634381649)), ('blue', (0.5993933422277281, 1.1304633507235975))), 'pot blue ball into top_right pocket indirectly')), Success Rate: 28 / 100 = 0.28
(18, ((('cue', (0.490969585860322, 0.21707754842493357)), ('red', (0.9616306477513342, 0.29437391351230435)), ('blue', (0.1312273721292794, 0.8497499085131185)), ('yellow', (0.2791744206763318, 0.1790387385117154))), 'pot blue ball into top_right pocket indirectly')), Success Rate: 14 / 100 = 0.14
(19, ((('cue', (0.20006514054197228, 0.9100736727408364)), ('red', (0.9134906570399228, 1.1169674314872784)), ('yellow', (0.7226057788613309, 1.0346693458529783)), ('blue', (0.8933150476463128, 1.7779474133672413))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 42 / 100 = 0.42
(20, ((('cue', (0.6984213861234815, 1.4064353557429459)), ('yellow', (0.1650407092824322, 0.3305402400488082)), ('red', (0.14779848998196074, 1.063313618735502)), ('blue', (0.24968469080576502, 0.12106349930749098))), 'pot red ball into top_right pocket indirectly')), Success Rate: 15 / 100 = 0.15
(21, ((('cue', (0.7486266811367291, 1.5102961288564754)), ('yellow', (0.5741505567111784, 1.1418579335605146)), ('red', (0.3478443110019678, 1.1780493034263375)), ('blue', (0.28688181085401576, 0.16722144228968755))), 'pot blue ball into top_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
